National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,tensor(1.0000)
"Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.","Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.","Systems referred to in Sentence (1) shall be designed, installed and maintained to prevent leakage or spillage.","Systems referred to in Sentence (1) shall be designed, installed and maintained to prevent leakage or spillage.",tensor(0.9741)
Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,Portable extinguishers provided in conformance with Sentence (3) shall be in addition to those provided on board the marine vessels.,Portable extinguishers provided in conformance with Sentence (3) shall be in addition to those provided on board the marine vessels.,tensor(0.9860)
"A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Clause 2.8.2.1.(1)(a).","A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Sentence 2.8.2.1.(1).","There shall be sufficient supervisory staff available in care occupancies, care and treatment occupancies, detention occupancies and retirement homes to carry out the duties required in the fire safety plan.","There shall be sufficient supervisory staff available in care occupancies, care and treatment occupancies, detention occupancies and retirement homes to carry out the duties required in the fire safety plan.",tensor(0.9393)
Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,Access to windows and panels required to vent floor areas and vents to vestibules that are permitted to be manually openable shall be kept free of obstructions.,Access to windows and panels required to vent floor areas and vents to vestibules that are permitted to be manually openable shall be kept free of obstructions.,tensor(0.9981)
"In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.","In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.","In addition to the procedures described in Sentences (1) and (2), elevators in an elevator shaft that is intended for use as a smoke shaft shall be inspected semi-annually to ensure that on activation of the fire alarm system they will return to the street floor and remain inoperative.","In addition to the procedures described in Sentences (1) and (2), elevators in an elevator shaft that is intended for use as a smoke shaft shall be inspected semi-annually to ensure that on activation of the fire alarm system they will return to the street floor and remain inoperative.",tensor(0.9500)
Aviation fuel and oil separators provided in the drainage system shall be inspected at intervals not greater than 7 days to ensure safe operation and shall be serviced when necessary.,,,,0.0
,,"The storage batteries, lubrication systems, oil and fuel supplies shall be inspected once a week.","The storage batteries, lubrication systems, oil and fuel supplies shall be inspected once a week.",0.0
A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),,,0.0
,,Water supply pressure and system air or water pressure shall be checked weekly by using gauges to ensure that the system is maintained at the required operating pressure.,Water supply pressure and system air or water pressure shall be checked weekly by using gauges to ensure that the system is maintained at the required operating pressure.,0.0
"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.9.1.1. (See Note A-1.1.2.1.(1).)","For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.9.1.1. (See Note A-1.1.2.1.(1).)",,,0.0
,,An existing cooking operation that complies with Sentences (2) to (6) is deemed to comply with Sentence 2.6.1.12.(1).,,0.0
A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,,,0.0
,,"To provide for fire fighting operations, the clear space permanently available shall not be less than 4.5 m.","To provide for fire fighting operations, the clear space permanently available shall not be less than 4.5 m.",0.0
"Self-contained emergency lighting unit equipment shall be tested at intervals not greater than one month to ensure that the emergency lights will function upon failure of the primary power supply, and at intervals not greater than 12 months to ensure that the unit will provide emergency lighting for a duration equal to the design criterion under simulated power failure conditions.","Self-contained emergency lighting unit equipment shall be tested at intervals not greater than one month to ensure that the emergency lights will function upon failure of the primary power supply, and at intervals not greater than 12 months to ensure that the unit will provide emergency lighting for a duration equal to the design criterion under simulated power failure conditions.","Emergency lighting unit equipment shall be tested monthly to ensure that the emergency lights will function upon failure of the primary power supply, and annually to ensure that the unit will provide emergency lighting for a duration equal to the design criteria under simulated power failure conditions.","Emergency lighting unit equipment shall be tested (a) monthly to ensure that the emergency lights will function upon failure of the primary power supply, and (b) annually to ensure that the unit will provide emergency lighting for a duration equal to the design criteria under simulated power failure conditions.",tensor(0.9564)
"Except as permitted in Sentence 4.10.8.1.(2), in maturing warehouses, at least one portable extinguisher having a rating of 4-A:30-B:C shall be located adjacent to each exit.","Except as permitted in Sentence 4.10.8.1.(2), in maturing warehouses, at least one portable extinguisher having a rating of 4-A:30-B:C shall be located adjacent to each exit.","Except as permitted in Sentence (3), in maturing warehouses, at least one 4A:30B:C rated portable extinguisher shall be located adjacent to each exit.","Except as permitted in Sentence (3), in maturing warehouses, at least one 4A:30B:C rated portable extinguisher shall be located adjacent to each exit.",tensor(0.9787)
"Except as provided in Sentence 4.10.8.2.(2), standpipe and hose systems shall be provided and installed in distilleries in conformance with Article 2.1.3.1.","Except as provided in Sentence 4.10.8.2.(2), standpipe and hose systems shall be provided and installed in distilleries in conformance with Article 2.1.3.1.","Except as provided in Sentence (2), standpipe and hose systems shall be provided and installed in distilleries in accordance with the Building Code.","Except as provided in Sentence (2), standpipe and hose systems shall be provided and installed in distilleries in accordance with the Building Code.",tensor(0.9578)
"Work on ducts involving the use of heat-producing devices for cutting, welding or soldering shall not be undertaken before the system has been shut down, the duct has been cleaned of any accumulations of combustible deposits, and any combustible lining and covering material that could be ignited by such work has been removed.","Work on ducts involving the use of heat-producing devices for cutting, welding or soldering shall not be undertaken before the system has been shut down, the duct has been cleaned of any accumulations of combustible deposits, and any combustible lining and covering material that could be ignited by such work has been removed.","No work on ducts involving the use of hot work equipment shall be performed unless the system has been shut down, the duct has been cleaned of any accumulations of combustible deposits, and any combustible lining and covering material that could be ignited by the work has been removed.","No work on ducts involving the use of hot work equipment shall be performed unless (a) the system has been shut down, (b) the duct has been cleaned of any accumulations of combustible deposits, and (c) any combustible lining and covering material that could be ignited by the work has been removed.",tensor(0.9429)
"Where field test methods are included in the storage tank construction standards referred to in Articles 4.3.1.2.and 4.3.1.3., such tests shall be permitted for storage tanks conforming to those standards.","Where field test methods are included in the storage tank construction standards referred to in Articles 4.3.1.2. and 4.3.1.3., such tests shall be permitted for storage tanks conforming to those standards.","Where field test methods are included in the tank construction standards referred to in Articles 4.3.1.2. and 4.3.1.3., such tests shall be permitted for storage tanks conforming to those standards.","Where field test methods are included in the tank construction standards referred to in Articles 4.3.1.2. and 4.3.1.3., such tests shall be permitted for storage tanks conforming to those standards.",tensor(0.9974)
Attendants shall be trained on how to conduct their duties.,Attendants shall be trained on how to conduct their duties.,,,0.0
,,"Employees in a hotel establishment shall be instructed on the procedures outlined in Article 2.8.2.1., and the use of fire fighting equipment, including portable extinguishers and, where applicable, standpipe and hose systems.","Employees in a hotel establishment shall be instructed on (a) the procedures outlined in Article 2.8.2.1., and (b) the use of fire fighting equipment, including portable extinguishers and, where applicable, standpipe and hose systems.",0.0
"Except as provided in Subsection 3.1.1., this Subsection applies to the indoor storage of dangerous goods classified as compressed gases.","Except as provided in part 3., this Subsection applies to the indoor storage of dangerous goods classified as compressed gases.",,,0.0
,,"If cylinders containing compressed gas are stored indoors, the cylinders shall be stored in a storage area or room that is dry and ventilated.","If cylinders containing compressed gas are stored indoors, the cylinders shall be stored in a storage area or room that is dry and ventilated.",0.0
Warning signs shall be posted in a conspicuous location near every entrance to the premises being fumigated.,Warning signs shall be posted in a conspicuous location near every entrance to the premises being fumigated.,Warning signs shall be posted in a conspicuous location near every entrance to the premises being fumigated.,Warning signs shall be posted in a conspicuous location near every entrance to the premises being fumigated.,tensor(1.0000)
"In a sprinkleredbuilding, the storage of combustible pallets is permitted to exceed the values stated in Sentence 3.2.2.4.(2) provided such storage conforms to NFPA 13-2013 Installation of Sprinkler Systems (See Note A-3.2.2.4.(3).)","In a sprinklered building, the storage of combustible pallets is permitted to exceed the values stated in Sentence 3.2.2.4.(2) provided such storage conforms to NFPA 13-2013 Installation of Sprinkler Systems (See Note A-3.2.2.4.(3).)","In a sprinklered building, the storage of combustible pallets is permitted to exceed the values in Sentence (2) provided such storage conforms to NFPA 13, Standard for the Installation of Sprinkler Systems.","In a sprinklered building, the storage of combustible pallets is permitted to exceed the values in Sentence (2) provided such storage conforms to NFPA 13, ""Standard for the Installation of Sprinkler Systems"".",tensor(0.9843)
Means of egress shall be maintained in good repair and free of obstructions.,,Means of egress shall be maintained in good repair and free of obstructions.,,tensor(1.0000)
"Quantities of flammable liquids and combustible liquids in excess of those permitted in Sentence 5.5.5.1.(1) shall be stored in cabinets conforming to Subsection 4.2.10. except that, in laboratories described in Clause 5.5.5.1.(1)(b), the total quantity of flammable liquids and combustible liquids stored in such cabinets shall not exceed the quantity permitted for one cabinet, or a room conforming to Subsection 4.2.9.","Quantities of flammable liquids and combustible liquids in excess of those permitted in Sentence 5.5.5.1.(1) shall be stored in cabinets conforming to part 4. except that, in laboratories described in Sentence 5.5.5.1.(1), the total quantity of flammable liquids and combustible liquids stored in such cabinets shall not exceed the quantity permitted for one cabinet, or a room conforming to part 4.",,,0.0
,,"Existing laboratories in basements may store, handle or use flammable liquids and combustible liquids if the quantity of flammable liquids and combustible liquids that are stored, handled or used does not exceed 300 L, of which not more than 250 L are flammable liquids, continuous mechanical ventilation to the outdoors is provided to ensure that flammable vapour concentrations do not exceed 25% of the lower explosive limit, an audible alarm is provided that will be sounded in an attended area upon shutdown of the mechanical ventilation system, the building has a fire safety plan in accordance with Section 2.8, Class IA liquids are not stored in containers greater than 4 L in capacity, all sources of ignition within 0.9 m from the floor are eliminated or the room is equipped with a flammable vapour detection system that will alarm in an attended location upon detection of vapour concentrations exceeding 10% of the lower explosive limit, and the laboratory is designed to prevent critical structural and mechanical damage from an internal explosion in accordance with NFPA 68, Standard on Explosion Protection by Deflagration Venting, unless all dispensing of flammable liquids is carried out in a power-ventilated enclosure in accordance with Articles 4.12.8.3. to 4.12.8.5., and Class IA liquids are stored in cabinets in accordance with Article 4.2.10.5.","Existing laboratories in basements may store, handle or use flammable liquids and combustible liquids if the quantity of flammable liquids and combustible liquids that are stored, handled or used does not exceed 300 L, of which not more than 250 L are flammable liquids, continuous mechanical ventilation to the outdoors is provided to ensure that flammable vapour concentrations do not exceed 25% of the lower explosive limit, an audible alarm is provided that will be sounded in an attended area upon shutdown of the mechanical ventilation system, the building has a fire safety plan in accordance with Section 2.8, Class IA liquids are not stored in containers greater than 4 L in capacity, all sources of ignition within 0.9 m from the floor are eliminated or the room is equipped with a flammable vapour detection system that will alarm in an attended location upon detection of vapour concentrations exceeding 10% of the lower explosive limit, and the laboratory is designed to prevent critical structural and mechanical damage from an internal explosion in accordance with NFPA 68, Standard on Explosion Protection by Deflagration Venting , unless all dispensing of flammable liquids is carried out in a power-ventilated enclosure in accordance with Articles 4.12.8.3. to 4.12.8.5., and Class IA liquids are stored in cabinets in accordance with Article 4.2.10.5.",0.0
"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 5.7.1.1. (See Note A-1.1.2.1.(1).)","For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 5.7.1.1. (See Note A-1.1.2.1.(1).)",,,0.0
,,The requirements in Section 5.13 for dip tanks shall also apply to flow-coating operations described in Sentence (1).,The requirements in Section 5.13 for dip tanks shall also apply to flow-coating operations described in Sentence (1).,0.0
"Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids","Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids",,,0.0
,,Closed sprinkler control valves and closed valves controlling fire protection water supplies for sprinkler systems shall be tagged or identified in an approved manner.,Closed sprinkler control valves and closed valves controlling fire protection water supplies for sprinkler systems shall be tagged or identified in an approved manner.,0.0
Class I liquids shall not be dispensed into a metal container or storage tank unless it is electrically connected in conformance with Article 4.1.8.2. (See Note A-4.7.4.),Class I liquids shall not be dispensed into a metal container or storage tank unless it is electrically connected in conformance with Article 4.1.8.2.,Class I liquids shall not be dispensed into a metal container or storage tank unless it is electrically connected in conformance with Article 4.1.8.2.,Class I liquids shall not be dispensed into a metal container or storage tank unless it is electrically connected in conformance with Article 4.1.8.2.,tensor(0.9927)
