National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Except as provided in Sentences 5.2.2.3.(2)to 5.2.2.3.(5), air-handling ducts and plenums forming part of a heating, ventilating or air-conditioning system shall be constructed, installed and sealed as described in the SMACNA ANSI/SMACNA 006-2006 HVAC Duct Construction Standards – Metal and Flexible and in accordance with Table 5.2.2.3. (See Note A-5.2.2.3.(1).)","Except as provided in Sentences (2) to (5), air-handling ducts and plenums forming part of a heating, ventilating or air-conditioning system shall be constructed, installed and sealed as described in the ANSI/SMACNA 006, HVAC Duct Construction Standards Metal and Flexible, and in accordance with Table 5.2.2.3. (See Note A-5.2.2.3.(1).)","Where a supply duct is located in a conditioned space, the ductwork shall be sealed to a Class C seal level in accordance with the SMACNA, ""HVAC Duct Construction Standards – Metal and Flexible"". (See A-6.2.4.3.(11) in Appendix A.)","Where a supply duct is located in a conditioned space, the ductwork shall be sealed to a Class C seal level in accordance with the SMACNA, HVAC Duct Construction Standards Metal and Flexible .",tensor(0.8435)
"Heat-recovery ventilators used to meet the requirements of Sentence 5.2.10.4.(1) shall have a sensible-heat-recovery efficiency, when tested in conformance with the low-temperature thermal and ventilation test methods described in CSA CAN/CSA-C439-09 Rating the Performance of Heat/Energy-Recovery Ventilators of at least 65% at an outside air test temperature of 0°C, and not less than that required by Table 5.2.10.4. for the 2.5% January design temperature for the building’s location, as listed in Table A-. (See Note A-5.2.10.4.(2).)","Heat-recovery ventilators used to meet the requirements of Sentence (1) shall have a sensible-heat-recovery efficiency, when tested in conformance with the low-temperature thermal and ventilation test methods described in CAN/CSA-C439, Rating the Performance of Heat/Energy-Recovery Ventilators, of at least 65% at an outside air test temperature of 0°C, and not less than that required by Table 5.2.10.4. for the 2.5% January design temperature for the building s location, as listed in Table C-1. (See Note A-5.2.10.4.(2).)","Where electric space heating, other than forced-air electric heating system, is provided in buildings of residential occupancy within the scope of Part 9, the mechanical ventilation system shall include heat recovery ventilators designed to provide a minimum 55% sensible heat recovery efficiency when tested to the low temperature thermal and ventilation performance test method set out in CAN/CSA-C439, ""Rating the Performance of Heat/Energy-Recovery Ventilators"", at a Station 1 test temperature of -25°C at an air flow not less than 30 L/s.","Where electric space heating, other than forced-air electric heating system, is provided in buildings of residential occupancy within the scope of Part 9, the mechanical ventilation system shall include heat recovery ventilators designed to provide a minimum 55% sensible heat recovery efficiency when tested to the low temperature thermal and ventilation performance test method set out in CAN/CSA-C439, Rating the Performance of Heat/Energy-Recovery Ventilators , at a Station 1 test temperature of -25°C at an air flow not less than 30 L/s.",tensor(0.8771)
The scope of this Part shall be as described in Subsection 1.3.3..,The scope of this Part shall be as described in Subsection 1.3.3. of Division A.,The scope of this Part shall be as described in Subsection 1.1.2. of Division A. (See Appendix A.),,tensor(0.8738)
,,The scope of this Part shall be as described in Subsection 1.1.2. of Division A.,The scope of this Part shall be as described in Subsection 1.1.2. of Division A.,0.0
"Except as required by Sentence 3.1.5.21.(2) and Article 3.1.5.22., optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes are permitted in a building required to be of noncombustible construction, provided the wires and cables exhibit a vertical char of not more than 1.5 m when tested in conformance with the Vertical Flame Test – Cables in Cable Trays (FT4 in CSA C22.2 No. 0.3-09 Test Methods for Electrical Wires and Cables the wires and cables are located in totally enclosed noncombustible raceways (see Note A-3.1.4.3.(1)(b)(i)), masonry walls, concrete slabs, a service room separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h, or totally enclosed non-metallic raceways conforming to Clause 3.1.5.23.(1)(b), or the wires and cables are communication cables used at the service entry to a building and are not more than 3 m long. (See Note A-3.1.5.21.(1).)","Except as required by Sentence 3.1.5.21.(2) and Article 3.1.5.22., optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes are permitted in a building required to be of noncombustible construction, provided (a) the wires and cables exhibit a vertical char of not more than 1.5 m when tested in conformance with the Vertical Flame Test â Cables in Cable Trays (FT4 in CSA C22.2 No. 0.3-09 Test Methods for Electrical Wires and Cables (b) the wires and cables are located in (i) totally enclosed noncombustible raceways (see Note A-3.1.4.3.(1)(b)(i)), (ii) masonry walls, (iii) concrete slabs, (iv) a service room separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h, or (v) totally enclosed non-metallic raceways conforming to Clause 3.1.5.23.(1)(b), or (c) the wires and cables are communication cables used at the service entry to a building and are not more than 3 m long.",,,0.0
"Except as permitted in Sentences 3.1.5.21.(3)and 3.1.5.21.(4), optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes that are used for the transmission of voice, sound or data and are not located in totally enclosed noncombustible raceways are permitted to be installed in a plenum in a building required to be of noncombustible construction, provided the wires and cables exhibit a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5 when tested in conformance with ULC CAN/ULC-S102.4-10 Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways (FT6 rating).","Except as permitted in Sentences (3) and (4), optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes that are used for the transmission of voice, sound or data and are not located in totally enclosed noncombustible raceways are permitted to be installed in a plenum in a building required to be of noncombustible construction, provided the wires and cables exhibit a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5 when tested in conformance with CAN/ULC-S102.4, Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways, (FT6 rating).","Except as permitted by Sentence (2) and Articles 3.1.5.19. and 3.1.5.21., optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes are permitted in a building required to be of noncombustible construction, provided, the wires and cables exhibit a vertical char of not more than 1.5 m when tested in conformance with the Vertical Flame Test – Cables in Cabletrough in Clause 4.11.4. of CSA C22.2 No. 0.3, ""Test Methods for Electrical Wires and Cables"", (FT4 Rating), the wires and cables are located in, totally enclosed noncombustible raceways, concealed spaces in walls, concrete slabs, a service room separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h, or totally enclosed nonmetallic raceways conforming to Clause 3.1.5.20.(1)(b), or the wires and cables are communication cables used at the service entry to a building and are not more than 3 m long.","Except as permitted by Sentence (2) and Articles 3.1.5.19. and 3.1.5.21., optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes are permitted in a building required to be of noncombustible construction, provided, (a) the wires and cables exhibit a vertical char of not more than 1.5 m when tested in conformance with the Vertical Flame Test ¬"" Cables in Cable trough in Clause 4.11.4. of CSA C22.2 No. 0.3, ""Test Methods for Electrical Wires and Cables"", (FT4 Rating), (b) the wires and cables are located in, (i) totally enclosed noncombustible raceways, (ii) concealed spaces in walls, (iii) concrete slabs, (iv) a service room separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h, or (v) totally enclosed nonmetallic raceways conforming to Clause 3.1.5.20.(1)(b), or the wires and cables are communication cables used at the service entry to a building and are not more than 3 m long.",tensor(0.9468)
"Except as permitted by Sentence 3.1.8.13.(2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as permitted by Sentence (2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.",tensor(0.9337)
,,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,0.0
"A self-closing device need not be provided on a door that is located between a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, a patients’ sleeping room and a corridor serving the patients’ sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or a patients’ sleeping room and an adjacent room that serves the patients’ sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","A self-closing device need not be provided on a door that is located between (a) a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, (b) a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, (c) a patients sleeping room and a corridor serving the patients sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or (d) a patients sleeping room and an adjacent room that serves the patients sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.",tensor(0.8840)
,,"In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door between a public corridor and an adjacent room or suite of business and personal services occupancy if the door is not located in, a dead-end portion of the corridor, or a corridor that serves a hotel.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door between a public corridor and an adjacent room or suite of business and personal services occupancy if the door is not located in, (a) a dead-end portion of the corridor, or (b) a corridor that serves a hotel.",0.0
"A self-closing device need not be provided on a door that is located between a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, a patients’ sleeping room and a corridor serving the patients’ sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or a patients’ sleeping room and an adjacent room that serves the patients’ sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","A self-closing device need not be provided on a door that is located between (a) a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, (b) a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, (c) a patients sleeping room and a corridor serving the patients sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or (d) a patients sleeping room and an adjacent room that serves the patients sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.",tensor(0.8840)
,,"Within a fire compartment in a hospital or long-term care home that complies with the requirements of Article 3.3.3.5., a self-closing device is not required on a door that is located between, a patient’s or resident’s sleeping room and a corridor serving the patient’s or resident’s sleeping room, or a patient’s or resident’s sleeping room and an adjacent room that serves the patient’s or resident’s sleeping room.","Within a fire compartment in a hospital or long-term care home that complies with the requirements of Article 3.3.3.5., a self-closing device is not required on a door that is located between, (a) a patient s or resident s sleeping room and a corridor serving the patient s or resident s sleeping room, or (b) a patient s or resident s sleeping room and an adjacent room that serves the patient s or resident s sleeping room.",0.0
"Except as provided in Sentences 3.1.9.1.(2)and 3.1.9.1.(3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence 3.1.9.4.(1), provided they do not exceed 0.016 m2 in area, and an aggregate area of 0.065 m2 in any 9.3 m2 of surface area, and the annular space between the membrane and the noncombustible electrical outlet boxes does not exceed 3 mm.","Except as provided in Sentences 3.1.9.1.(2) and 3.1.9.1.(3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence 3.1.9.4.(1), provided they do not exceed 0.016 m2 in area, and an aggregate area of 0.065 m2 in any 9.3 m2 of surface area, and the annular space between the membrane and the noncombustible electrical outlet boxes does not exceed 3 mm.","Except as provided in Sentences 3.1.9.1.(2) and (3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence (1), provided, they do not exceed, 160 cm² in area, and an aggregate area of 650 cm² in any 9.3 m² of surface area, and the annular space between the membrane and noncombustible electrical outlet boxes does not exceed 3 mm.","Except as provided in Sentences 3.1.9.1.(2) and (3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence (1), provided, they do not exceed, 160 cmÃÂ² in area, and an aggregate area of 650 cmÃÂ² in any 9.3 mÃÂ² of surface area, and the annular space between the membrane and noncombustible electrical outlet boxes does not exceed 3 mm.",tensor(0.9941)
,,"Noncombustible electrical outlet boxes that penetrate a fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not meet the requirements of Article 3.1.9.1. provided, they do not exceed, 100 cm2 each in area, and an aggregate area of 650 cm2 in any 9.3 m2 of surface area, and the annular space between the membrane and the box does not exceed 3 mm.","Noncombustible electrical outlet boxes that penetrate a fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not meet the requirements of Article 3.1.9.1. provided, they do not exceed, 100 cm2 each in area, and an aggregate area of 650 cm2 in any 9.3 m2 of surface area, and the annular space between the membrane and the box does not exceed 3 mm.",0.0
"Combustible drain, waste and vent piping is permitted on one side of a vertical fire separation provided it is not located in a vertical service space.","Combustible drain, waste and vent piping is permitted on one side of a vertical fire separation provided it is not located in a vertical service space.",,,0.0
,,Combustible piping that is part of a system described in Sentence (1) shall not be located in a vertical service space.,Combustible piping that is part of a system described in Sentence (1) shall not be located in a vertical service space.,0.0
Openings through materials referred to in Sentences 3.1.11.7.(1)to 3.1.11.7.(4) shall be protected to maintain the integrity of the construction.,Openings through materials referred to in Sentences 3.1.11.7.(1) to 3.1.11.7.(4) shall be protected to maintain the integrity of the construction.,,,0.0
,,Openings through fire blocks shall be protected to maintain the integrity of the construction.,Openings through fire blocks shall be protected to maintain the integrity of the construction.,0.0
"The building referred to in Sentence 3.2.2.32.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and mezzanines shall have, if of combustible construction, a fire-resistance rating not less than 45 min, roof assemblies shall have, if of combustible construction, a fire-resistance rating not less than 45 min, except that the fire-resistance rating is permitted to be waived provided the roof assembly is constructed as a fire-retardant-treated wood roof system conforming to Article 3.1.14.1., and the building area is not more than 1 200 m2 if facing one street, 1 500 m2 if facing 2 streets, or 1 800 m2 if facing 3 streets, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than 45 min, or be of noncombustible construction.","The building referred to in Sentence 3.2.2.32.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and mezzanines shall have, if of combustible construction, a fire-resistance rating not less than 45 min, roof assemblies shall have, if of combustible construction, a fire-resistance rating not less than 45 min, except that the fire-resistance rating is permitted to be waived provided the roof assembly is constructed as a fire-retardant-treated wood roof system conforming to Article 3.1.14.1., and the building area is not more than 1 200 m2 if facing one street, 1 500 m2 if facing 2 streets , or 1 800 m2 if facing 3 streets , and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than 45 min, or be of noncombustible construction.","The building referred to in Sentence (1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and, mezzanines shall have, if of combustible construction, a fire-resistance rating not less than 45 min, roof assemblies shall have, if of combustible construction, a fire-resistance rating not less than 45 min, except that the fire-resistance rating is permitted to be waived provided the roof assembly is constructed as a fire-retardant treated wood roof system conforming to Article 3.1.14.1., and the building area is not more than, 1 200 m2 if facing one street, 1 500 m2 if facing two streets, or 1 800 m2 if facing three streets, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall, have a fire-resistance rating not less than 45 min, or be of noncombustible construction.","The building referred to in Sentence (1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and, mezzanines shall have, if of combustible construction, a fire-resistance rating not less than 45 min, roof assemblies shall have, if of combustible construction, a fire-resistance rating not less than 45 min, except that the fire-resistance rating is permitted to be waived provided the roof assembly is constructed as a fire-retardant treated wood roof system conforming to Article 3.1.14.1., and the building area is not more than, 1 200 m2 if facing one street, 1 500 m2 if facing two streets, or 1 800 m2 if facing three streets, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall, have a fire-resistance rating not less than 45 min, or be of noncombustible construction.",tensor(0.9905)
"The building referred to in Sentence 3.2.2.25.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations and, if of combustible construction, shall have a fire-resistance rating not less than 45 min, mezzanines shall have, if of combustible construction, a fire-resistance rating not less than 45 min, roof assemblies shall have, if of combustible construction, a fire-resistance rating not less than 45 min, except that in a building not more than 1 storey in building height, the fire-resistance rating is permitted to be waived provided the roof assembly is constructed as a fire-retardant-treated wood roof system conforming to Article 3.1.14.1., and the building area is not more than 800 m2 if facing one street, 1 000 m2 if facing 2 streets, or 1 200 m2 if facing 3 streets, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than 45 min, or be of noncombustible construction.",,"The building referred to in Sentence (1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and, floor assemblies shall be fire separations and, if of combustible construction, shall have a fire-resistance rating not less than 45 min, mezzanines shall have, if of combustible construction, a fire-resistance rating not less 45 min, roof assemblies shall have, if of combustible construction, a fire-resistance rating not less than 45 min, except that in a building not more than 1 storey in building height, the fire-resistance rating is permitted to be waived provided the roof assembly is constructed as a fire-retardant treated wood roof system conforming to Article 3.1.14.1., and the building area is not more than, 800 m2 if facing one street, 1 000 m2 if facing two streets, or 1 200 m2 if facing three streets, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall, have a fire-resistance rating not less than 45 min, or be of noncombustible construction.","The building referred to in Sentence (1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and, floor assemblies shall be fire separations and, if of combustible construction, shall have a fire-resistance rating not less than 45 min, mezzanines shall have, if of combustible construction, a fire-resistance rating not less 45 min, roof assemblies shall have, if of combustible construction, a fire-resistance rating not less than 45 min, except that in a building not more than 1 storey in building height, the fire-resistance rating is permitted to be waived provided the roof assembly is constructed as a fire-retardant treated wood roof system conforming to Article 3.1.14.1., and the building area is not more than, 800 m2 if facing one street, 1 000 m2 if facing two streets, or 1 200 m2 if facing three streets, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall, have a fire-resistance rating not less than 45 min, or be of noncombustible construction.",tensor(0.9897)
"A building classified as Group B, Division 2 is permitted to be of combustible construction or noncombustible construction, used singly or in combination, provided except as permitted by Sentences 3.2.2.7.(1)and 3.2.2.18.(2), the building is sprinklered throughout, it is not more than 1 storey in building height, and it has a building area not more than 500 m2.",,"A building classified as Group A, Division 2 is permitted to be of combustible construction or noncombustible construction used singly or in combination, provided, except as permitted by Sentence 3.2.2.7.(1), the building is sprinklered, it is not more than 2 storeys in building height, and it has a building area not more than, 2 400 m2 if 1 storey in building height with no basement, 1 200 m2 if 1 storey in building height, or 600 m2 if 2 storeys in building height.","A building classified as Group A, Division 2 is permitted to be of combustible construction or noncombustible construction used singly or in combination, provided, except as permitted by Sentence 3.2.2.7.(1), the building is sprinklered, it is not more than 2 storeys in building height, and it has a building area not more than, 2 400 m2 if 1 storey in building height with no basement, 1 200 m2 if 1 storey in building height, or 600 m2 if 2 storeys in building height.",tensor(0.9605)
"A building classified as Group A, Division 2 is permitted to be of combustible construction or noncombustible construction, used singly or in combination, provided except as permitted by Sentences 3.2.2.7.(1)and 3.2.2.18.(2), the building is sprinklered throughout, it is not more than 2 storeys in building height, and it has a building area not more than 2 400 m2 if 1 storey in building height with no basement, 1 200 m2 if 1 storey in building height, or 600 m2 if 2 storeys in building height.","A building classified as Group A, Division 2 is permitted to be of combustible construction or noncombustible construction, used singly or in combination, provided (a) except as permitted by Sentences 3.2.2.7.(1) and 3.2.2.18.(2), the building is sprinklered throughout, (b) it is not more than 2 storeys in building height, and (c) it has a building area not more than (i) 2 400 m2 if 1 storey in building height with no basement, (ii) 1 200 m2 if 1 storey in building height, or (iii) 600 m2 if 2 storeys in building height.","A building classified as Group A, Division 2 occupancy that is not more than 1 storey in building height, and in which the building area is not more than 3 200 m2 if not sprinklered, or 6 400 m2 if sprinklered, is permitted to be constructed with a roof of heavy timber construction and have columns of heavy timber construction.","A building classified as Group A, Division 2 occupancy that is not more than 1 storey in building height, and in which the building area is not more than 3 200 m2 if not sprinklered, or 6 400 m2 if sprinklered, is permitted to be constructed with a roof of heavy timber construction and have columns of heavy timber construction.",tensor(0.8682)
"The building referred to in Sentence 3.2.2.63.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations and, if of combustible construction, shall have a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than 45 min, or be of noncombustible construction.","The building referred to in Sentence 3.2.2.63.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations and, if of combustible construction, shall have a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than 45 min, or be of noncombustible construction.",,,0.0
"The building referred to in Sentence 3.2.2.68.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.",,"The building referred to in Sentence (1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and, floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.","The building referred to in Sentence (1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and, floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.",tensor(0.9852)
"The building referred to in Sentence 3.2.2.63.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations and, if of combustible construction, shall have a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than 45 min, or be of noncombustible construction.","The building referred to in Sentence 3.2.2.63.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations and, if of combustible construction, shall have a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches supporting an assembly required to have a fire-resistance rating shall have a fire-resistance rating not less than 45 min, or be of noncombustible construction.",,,0.0
