National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Calculations carried out to ensure compliance with this Code and not described in the balance of this Subsection or in other Parts of the Code shall be carried out using procedures recognized for the particular purposes, such as those described in, but not limited to: ASHRAE Handbooks, Standards and Guidelines, HRAI SAR-G1 HRAI Digest Hydronics Institute Manuals, and ISO 13790:2008 Energy performance of buildings – Calculation of energy use for space heating and cooling","Calculations carried out to ensure compliance with this Code and not described in the balance of this Subsection or in other Parts of the Code shall be carried out using procedures recognized for the particular purposes, such as those described in, but not limited to: ASHRAE Handbooks, Standards and Guidelines, HRAI Digest, Hydronics Institute Manuals, and ISO 13790, Energy performance of buildings Calculation of energy use for space heating and cooling.","In this Code, an abbreviation of proper names listed in Column 1 of Table 1.3.2.1. has the meaning assigned opposite it in Column 2.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)AISIAmerican Iron and Steel Institute (www.steel.org)ANSIAmerican National Standards Institute (www.ansi.org)APHAAmerican Public Health AssociationASHRAEAmerican Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASPEAmerican Society of Plumbing EngineersASSEAmerican Society of Sanitary EngineeringASTMAmerican Society for Testing and Materials International (www.astm.org) AWSAmerican Welding SocietyAWPAAmerican Wood Protection Association (www.awpa.com)BCMOHBritish Columbia Ministry of HealthBNQBureau de normalisation du Québec (www.bnq.qc.ca)CANNational Standard of Canada designation (The number or name following the CAN designation represents the agency under whose auspices the standard is issued.)CAN1 designates CGA,CAN2 designates CGSB,CAN3 designates CSACAN4 designates ULCCCBFCCanadian Commission on Building and Fire Codes (see NRC)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CSACSA Group (www.csagroup.org)CWCCanadian Wood Council (www.cwc.ca)DBRDivision of Building Research, known as the Institute for Research in Construction since 1985ECEnvironment Canada (www.ec.gc.ca)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FINAFédération Internationale de NatationHIHydronics InstituteHRAIHeating, Refrigeration and Air Conditioning Institute of Canada (www.hrai.ca)HUDU.S. Department of Housing and Urban DevelopmentHVIHome Ventilating Institute (www.hvi.org)IAPMOInternational Association of Plumbing and Mechanical OfficialsIESNAIlluminating Engineering Society of North AmericaISOInternational Organization for Standardization (www.iso.org)MMAOntario Ministry of Municipal AffairsMOEOntario Ministry of the EnvironmentNFPANational Fire Protection Association (www.nfpa.org)NLGANational Lumber Grades Authority (www.nlga.org)NRCanNatural Resources Canada (www.nrcan.gc.ca)NSFNSF International, formerly called National Sanitation Federation SMACNASheet Metal and Air Conditioning Contractors’ National Association (www.smacna.org)TCTransport Canada (www.tc.gc.ca)TPICTruss Plate Institute of Canada (www.tpic.ca)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)USDAUnited States Department of AgricultureWEFWorld Environment FederationWTWaterfront Toronto",,1.0
"This Part is concerned with the transfer of heat and air through building materials, components and assemblies forming part of the building envelope, and interfaces between building materials, components and assemblies forming part of the building envelope.","This Part is concerned with the transfer of heat and air through building materials, components and assemblies forming part of the building envelope, and interfaces between building materials, components and assemblies forming part of the building envelope.","In buildings classified as Group C occupancy, the flush cycle for each fixture that is a water closet or urinal shall not exceed the maximum water consumption per flush cycle listed for that fixture in Table 7.6.4.2.B.",,1.0
"The thermal characteristics of building envelope materials shall be determined in accordance with the applicable product standards listed in the NBC or, in the absence of such standards or where such standards do not address the determination of thermal characteristics, in accordance with ASTM C 177-13 Steady-State Heat Flux Measurements and Thermal Transmission Properties by Means of the Guarded-Hot-Plate Apparatus or ASTM C 518-10 Steady-State Thermal Transmission Properties by Means of the Heat Flow Meter Apparatus","The thermal characteristics of building envelope materials shall be determined in accordance with the applicable product standards listed in the NBC or, in the absence of such standards or where such standards do not address the determination of thermal characteristics, in accordance with ASTM C 177, Steady-State Heat Flux Measurements and Thermal Transmission Properties by Means of the Guarded-Hot-Plate Apparatus, or ASTM C 518, Steady-State Thermal Transmission Properties by Means of the Heat Flow Meter Apparatus.","An individually pressure-balanced or thermostatic-mixing valve is not required for shower heads having a single tempered water supply that is controlled by an automatic compensating valve conforming to CSA B125.3, ""Plumbing Fittings"".",,1.0
The overall thermal transmittance of fenestration and doors that are not within the scope of the standards listed in Sentence 3.1.1.5.(3) shall be determined from calculations carried out using the procedures described in the ASHRAE 2013 ASHRAE Handbook – Fundamentals or laboratory tests performed in accordance with ASTM C 1363-11 Thermal Performance of Building Materials and Envelope Assemblies by Means of a Hot Box Apparatus using an indoor air temperature of 21±1°C and an outdoor air temperature of –18±1°C measured at the mid-height of the fenestration or door.,"The overall thermal transmittance of fenestration and doors that are not within the scope of the standards listed in Sentence (3) shall be determined from calculations carried out using the procedures described in the ASHRAE Handbook Fundamentals, or laboratory tests performed in accordance with ASTM C 1363, Thermal Performance of Building Materials and Envelope Assemblies by Means of a Hot Box Apparatus, using an indoor air temperature of 21±1°C and an outdoor air temperature of 18±1°C measured at the mid-height of the fenestration or door.","A water distribution system supplying hot water to any bathtub, shower or hand basin that is accessible to a patient or resident in a Group B, Division 2 or 3 occupancy or a resident of a group home, home for special care or residence for adults with developmental disabilities shall have one or more temperature gauges and control devices that are, (a) accessible only to supervisory staff, and (b) capable of being adjusted to ensure that the temperature of the water supplied to the fixtures does not exceed 49°C.",,1.0
"The calculation of allowable fenestration and door area in additions shall be based upon the addition being considered by itself, or the addition being considered together with the existing building, provided that the combined overall thermal transmittance of the addition and existing building meets the prescriptive or trade-off requirements.","The calculation of allowable fenestration and door area in additions shall be based upon the addition being considered by itself, or the addition being considered together with the existing building, provided that the combined overall thermal transmittance of the addition and existing building meets the prescriptive or trade-off requirements.","Non-potable water piping shall be identified by markings that are permanent, distinct and easily recognized.",,1.0
"In calculating the overall thermal transmittance of assemblies for purposes of comparison with the provisions in Section 3.2., the thermal bridging effect of major structural members, such as columns and spandrel beams, that are parallel to the plane of the building envelope and partly penetrate that building envelope assembly need not be taken into account, provided they do not increase the overall thermal transmittance at the projected area of the member to more than twice that permitted in Section 3.2. (See Note A-3.1.1.7.(2).)","In calculating the overall thermal transmittance of assemblies for purposes of comparison with the provisions in Section 3.2., the effect of thermal bridging shall be considered for closely spaced repetitive structural members, such as studs and joists, and ancillary members, such as lintels, sills and plates, major structural elements that penetrate or intersect the building envelope (see Note A-3.1.1.7.(1)(b)), the junctions between the following building envelope materials, components, and assemblies: glazing assemblies, spandrels, parapets, roof-to-wall junctions, corners, and edges of walls or floors, and secondary structural members (see Note A-3.1.1.7.(1)(d)).","Non-potable water piping shall not be located,(a) where food is prepared in a food processing plant, (b) above food-handling equipment, (c) above a non-pressurized potable water tank, or (d) above a cover of a pressurized potable water tank.",,1.0
"Where a component of the building envelope is protected by an enclosed unconditioned space, such as a sun porch, enclosed veranda or vestibule, the unconditioned enclosure may be considered to have an overall thermal transmittance of 6.25 W/(m2·K). (See Note A-3.1.1.7.(5).)","Where a component of the building envelope is protected by an enclosed unconditioned space, such as a sun porch, enclosed veranda or vestibule, the unconditioned enclosure may be considered to have an overall thermal transmittance of 6.25 W/(m2·K). (See Note A-3.1.1.7.(5).)","Non-potable water systems for re-use purposes shall be designed, constructed and installed to conform to good engineering practice appropriate to the circumstances such as described in, (a) the ASHRAE Handbooks, (b) ASPE Data Books, or (c) CAN/CSA-B128.1, ""Design and Installation of Non-Potable Water Systems"".",,1.0
"For the purposes of this Article, roof assemblies shall be considered to include all related structural framing.","For the purposes of this Article, roof assemblies shall be considered to include all related structural framing.",The scope of this Part shall be as described in Subsection 1.1.2. of Division A.,,1.0
"Where mechanical ducts and chases or electrical system components, such as pipes, ducts, conduits, cabinets, panels, or recessed heaters, are placed within and parallel to the building envelope, the overall thermal transmittance of the building envelope at the projected area of the mechanical or electrical system components shall not be increased.","Where mechanical ducts and chases or electrical system components, such as pipes, ducts, conduits, cabinets, panels, or recessed heaters, are placed within and parallel to the building envelope, the overall thermal transmittance of the building envelope at the projected area of the mechanical or electrical system components shall not be increased.","Platforms intended solely for periodic inspection and elevated catwalks need not be considered as floor assemblies or mezzanines for the purpose of determining building height provided, they are not used for storage, they are constructed with noncombustible materials unless the building is permitted to be of combustible construction, and where they are intended to be occupied, they have an occupant load of not more than four persons.","Platforms intended solely for periodic inspection and elevated catwalks need not be considered as floor assemblies or mezzanines for the purpose of determining building height provided, they are not used for storage, they are constructed with noncombustible materials unless the building is permitted to be of combustible construction, and where they are intended to be occupied, they have an occupant load of not more than four persons.",1.0
"The overall thermal transmittance, U1, of building assemblies separating conditioned spaces that are intended to be heated to temperatures that differ by more than 10°C shall not be greater than that obtained with the following equation: U1= t2-t0/ t2-0.5 t1-0.5 t 0 Uwheret1= indoor heating design temperature of the colder conditioned space, in °C, t2= indoor heating design temperature of the warmer conditioned space, in °C, t0= outdoor 2.5% January design temperature as specified in Article 1.1.4.1., in °C, and U= overall thermal transmittance required in Sentences 3.2.2.2.(1), 3.2.2.3.(2)and 3.2.2.4.(1), in W/(m2·K). (See Note A-3.2.1.3.(1).)","The overall thermal transmittance, U1, of building assemblies separating conditioned spaces that are intended to be heated to temperatures that differ by more than 10°C shall not be greater than that obtained with the following equation: where t1 = indoor heating design temperature of the colder conditioned space, in °C, t2 = indoor heating design temperature of the warmer conditioned space, in °C, t0 = outdoor 2.5% January design temperature as specified in Article 1.1.4.1., in °C, and U =overall thermal transmittance required in Sentences 3.2.2.2.(1), 3.2.2.3.(2) and 3.2.2.4.(1), in W/(m2·K). (See Note A-3.2.1.3.(1).)","A service space in which facilities are included to permit a person to enter and to undertake maintenance and other operations pertaining to building services from within the service space need not be considered a storey if it conforms to Articles 3.2.5.15. and 3.3.1.23. and Sentences 3.2.4.20.(12), 3.2.7.3.(2), 3.3.1.3.(7), 3.4.2.4.(3) and 3.4.4.4.(9). (See Appendix A.)","A service space in which facilities are included to permit a person to enter and to undertake maintenance and other operations pertaining to building services from within the service space need not be considered a storey if it conforms to Articles 3.2.5.15. and 3.3.1.23. and Sentences 3.2.4.20.(12), 3.2.7.3.(2), 3.3.1.3.(7), 3.4.2.4.(3) and 3.4.4.4.(9). (See Appendix A.)",1.0
