National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)","For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)","The initial verification or test reports for fire protection systems installed after November 21, 2007 shall be retained throughout the life of the systems, regardless of whether the systems are installed in accordance with this Code or the Building Code.",,1.0
Wetting agents used in conjunction with water-based fire suppression systems shall conform to NFPA 18-2011 Wetting Agents,Wetting agents used in conjunction with water-based fire suppression systems shall conform to NFPA 18-2011 Wetting Agents,"For the purpose of applying this Code, a building or part thereof shall be classified according to its major occupancy by the Chief Fire Official in conformance with the Building Code.","For the purpose of applying this Code, a building or part thereof shall be classified according to its major occupancy by the Chief Fire Official in conformance with the Building Code.",1.0
"Where a sign, notice, placard or information is required to be posted, it shall be clearly legible, and except as provided in Sentence 2.1.4.1.(2), permanently mounted in a conspicuous or prominent location in proximity to the situation to which it refers.","Where a sign, notice, placard or information is required to be posted, it shall be clearly legible, and except as provided in Sentence 2.1.4.1.(2), permanently mounted in a conspicuous or prominent location in proximity to the situation to which it refers.","Where fire separations between rooms, corridors, shafts and other spaces are damaged so as to affect the integrity of their fire-resistance rating, the damaged fire separations shall be repaired so that the integrity of the fire separations is maintained.","Where fire separations between rooms, corridors, shafts and other spaces are damaged so as to affect the integrity of their fire-resistance rating, the damaged fire separations shall be repaired so that the integrity of the fire separations is maintained.",1.0
"Notwithstanding the requirements of Sentence 2.1.5.1.(2), portable extinguishers used to comply with this Code shall conform to the following performance standards as applicable: ULC CAN/ULC-S503-05 Carbon-Dioxide Fire Extinguishers ULC CAN/ULC-S504-12 Dry Chemical Fire Extinguishers ULC CAN/ULC-S507-05 Water Fire Extinguishers ULC CAN/ULC-S512-M87 Halogenated Agent Hand and Wheeled Fire Extinguishers ULC CAN/ULC-S554-16 Water Based Agent Fire Extinguishers and ULC CAN/ULC-S566-17 Halocarbon Clean Agent Fire Extinguishers","Notwithstanding the requirements of Sentence 2.1.5.1.(2), portable extinguishers used to comply with this Code shall conform to the following performance standards as applicable: ULC CAN/ULC-S503-05 Carbon-Dioxide Fire Extinguishers ULC CAN/ULC-S504-12 Dry Chemical Fire Extinguishers ULC CAN/ULC-S507-05 Water Fire Extinguishers ULC CAN/ULC-S512-M87 Halogenated Agent Hand and Wheeled Fire Extinguishers ULC CAN/ULC-S554-16 Water Based Agent Fire Extinguishers and ULC CAN/ULC-S566-17 Halocarbon Clean Agent Fire Extinguishers","Closures in fire separations shall be maintained to ensure that they are operable at all times by keeping fusible links and heat or smoke-actuated devices undamaged and free of paint and dirt, keeping guides, bearings and stay rolls clean and lubricated, making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.","Closures in fire separations shall be maintained to ensure that they are operable at all times by (a) keeping fusible links and heat or smoke-actuated devices undamaged and free of paint and dirt, (b) keeping guides, bearings and stay rolls clean and lubricated, (c) making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and (d) repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.",1.0
"Notwithstanding the requirements of Sentence 2.1.5.1.(2), portable extinguishers used to comply with this Code shall conform to the following performance standards as applicable: ULC CAN/ULC-S503-05 Carbon-Dioxide Fire Extinguishers ULC CAN/ULC-S504-12 Dry Chemical Fire Extinguishers ULC CAN/ULC-S507-05 Water Fire Extinguishers ULC CAN/ULC-S512-M87 Halogenated Agent Hand and Wheeled Fire Extinguishers ULC CAN/ULC-S554-16 Water Based Agent Fire Extinguishers and ULC CAN/ULC-S566-17 Halocarbon Clean Agent Fire Extinguishers","Notwithstanding the requirements of Sentence 2.1.5.1.(2), portable extinguishers used to comply with this Code shall conform to the following performance standards as applicable: ULC CAN/ULC-S503-05 Carbon-Dioxide Fire Extinguishers ULC CAN/ULC-S504-12 Dry Chemical Fire Extinguishers ULC CAN/ULC-S507-05 Water Fire Extinguishers ULC CAN/ULC-S512-M87 Halogenated Agent Hand and Wheeled Fire Extinguishers ULC CAN/ULC-S554-16 Water Based Agent Fire Extinguishers and ULC CAN/ULC-S566-17 Halocarbon Clean Agent Fire Extinguishers","Closures in fire separations shall be maintained to ensure that they are operable at all times by keeping fusible links and heat or smoke-actuated devices undamaged and free of paint and dirt, keeping guides, bearings and stay rolls clean and lubricated, making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.","Closures in fire separations shall be maintained to ensure that they are operable at all times by (a) keeping fusible links and heat or smoke-actuated devices undamaged and free of paint and dirt, (b) keeping guides, bearings and stay rolls clean and lubricated, (c) making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and (d) repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.",1.0
"Defects that interfere with the operation of closures in fire separations shall be corrected, and such closures shall be maintained to ensure that they are operable at all times by keeping fusible links and other heat-actuated devices undamaged and free of paint and dirt, keeping guides, bearings and stay rolls clean and lubricated, making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.","Defects that interfere with the operation of closures in fire separations shall be corrected, and such closures shall be maintained to ensure that they are operable at all times by keeping fusible links and other heat-actuated devices undamaged and free of paint and dirt, keeping guides, bearings and stay rolls clean and lubricated, making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.",A door opening in a fire separation and the areas surrounding the door opening shall be kept clear of anything that would be likely to obstruct or interfere with the free operation of the door.,A door opening in a fire separation and the areas surrounding the door opening shall be kept clear of anything that would be likely to obstruct or interfere with the free operation of the door.,1.0
"Where closures in fire separations are replaced, the replacements shall be in conformance with the NBC.","Where closures in fire separations are replaced, the replacements shall be in conformance with the NBC.",A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,1.0
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",Fire dampers and fire-stop flaps shall be inspected annually or on an approved time schedule.,Fire dampers and fire-stop flaps shall be inspected annually or on an approved time schedule.,1.0
"Where closures are damaged so as to affect the integrity of their fire-protection rating, they shall be repaired so that their integrity is maintained in conformance with Article 2.2.2.1.","Where closures are damaged so as to affect the integrity of their fire-protection rating, they shall be repaired so that their integrity is maintained in conformance with Article 2.2.2.1.","Sentences (1) and (2) do not apply to a door designed to close automatically in the event of a fire emergency, or a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.","Sentences (1) and (2) do not apply to (a) a door designed to close automatically in the event of a fire emergency, or (b) a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.",1.0
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",Fire dampers and fire-stop flaps shall be inspected annually or on an approved time schedule.,Fire dampers and fire-stop flaps shall be inspected annually or on an approved time schedule.,1.0
