National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
This Part applies to all buildings covered in this Code. (See Article 1.1.1.1..),,This Part applies to all buildings covered in this Code. (See Article 1.1.1.1..),,1.0
"For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 3.10., 4.5., 5.10., 6.4., 7.2., 8.3. and 9.37. (See Note A-1.1.2.1.(1).)","For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b) of Division A, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 3.10., 4.5., 5.10., 6.4., 7.5., 8.3., 9.38., 10.8. and 11.3. (See Note A-1.1.2.1.(1).)","For the purpose of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 3., 4., 5. , 6. , 7., 8., 9. , 10. and 11. (See Note A-1.1.2.1.(1).)","For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b) of Division A, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 3.10., 4.5., 5.10., 6.4., 7.5., 8.3., 9.38., 10.8. and 11.3. (See Note A-1.1.2.1.(1).)",1.0
"The climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with Sentence 1.1.3.1.(2) and the climatic and seismic values in . (See Note A-1.1.3.1.(1).) (See Note A-1.1.3.1.(1).)",,"The climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with Sentence 1.1.3.1.(2) and the climatic and seismic values in . (See Note A-1.1.3.1.(1).)",,1.0
The outside winter design temperatures determined from Appendix C shall be those listed for the January 2.5% values. (See Note A-1.1.3.1.(2).) (See Note A-1.1.3.1.(2).),,The outside winter design temperatures determined from Appendix C shall be those listed for the January 2.5% values. (See Note A-1.1.3.1.(2).),,1.0
Depth of frost penetration shall be established on the basis of local experience.,,Depth of frost penetration shall be established on the basis of local experience.,,1.0
"Where a fire safety plan is required, it shall conform to Section 2.8. of Division B of the NFC.","Where a fire safety plan is required, it shall conform to Section 2.8. of Division B of the NFC(AE).","Where a fire safety plan is required, it shall conform to Section 2.8. of Division B of the NFC(AE).","Where a fire safety plan is required, it shall conform to Section 2.8. of Division B of the NFC(AE).",1.0
"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.","Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",1.0
"Where objectives and functional statements are referred to in Division B, they shall be the objectives and functional statements described in Parts 2 and 3 of Division A.",,"Where objectives and functional statements are referred to in Division B, they shall be the objectives and functional statements described in Parts 2 and 3 of Division A.",,1.0
"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 3 to 9.",,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 3. to 11. .",,1.0
,,"For words not defined by Sentence 1.2.1.1.(1), reference should be made to the Oxford University Press June 2004 Canadian Oxford Dictionary, 2nd Edition","For words not defined by Sentence 1.2.1.1.(1), reference should be made to the Oxford University Press June 2004 Canadian Oxford Dictionary, 2nd Edition",0.0
The words and terms in italics in Division B shall have the meanings assigned to them in Article 1.4.1.2..,,The words and terms in italics in Division B shall have the meanings assigned to them in Article 1.4.1.2..,,1.0
The symbols and other abbreviations in Division B shall have the meanings assigned to them in Article 1.4.2.1. and Article 1.3.2.1.,,The symbols and other abbreviations in Division B shall have the meanings assigned to them in Article 1.4.2.1. and Article 1.3.2.1.,,1.0
"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2017.","Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2017.","Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 01 April 2019.","Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 01 April 2019.",1.0
"Where documents are referenced in this Code, they shall be the editions designated in Table 1.3.1.2.",,"Where documents are referenced in this Code, they shall be the editions designated in Table 1.3.1.2.",,1.0
